index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
174,false,4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5,Chromium III,Elementary flows/Emission to air/low population density,kg,elementary,,,
175,false,b93fc4df-91b2-4ac4-a315-89147515ddfb,Potassium I,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
176,false,7d3f7498-3596-478a-9fa1-72201ef94082,Molybdenum VI,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
177,false,78c3efe4-421c-4d30-82e4-b97ac5124993,Sulfur dioxide,Elementary flows/Emission to air/low population density,kg,elementary,,,
178,false,9bbae55a-35de-4eff-a219-814a9fec5ac2,Chromium VI,Elementary flows/Emission to water/ground water,kg,elementary,,,
179,false,d68f41b3-6887-49a8-8efa-96812f8ec9f6,Barium II,Elementary flows/Emission to water/ground water,kg,elementary,,,
180,false,fc91fc6f-596e-424a-9ee4-4432d718a66f,Silicon,Elementary flows/Emission to water/ground water,kg,elementary,,,
181,false,a8fea8cf-9b09-49fc-aa58-5a732494a2a0,"COD, Chemical Oxygen Demand","Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
182,false,4ce23896-a82f-49f1-a8e3-8848734805a3,Cadmium II,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
183,false,f563b90e-a300-4403-b278-d2fdcd73e5a7,Tin ion,Elementary flows/Emission to air/low population density,kg,elementary,,,
184,false,94426df9-63b1-4dc6-ad1b-3509e22f1154,Silver I,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
185,false,1471acca-34ab-4e04-9bd6-e3825b20580f,Iodine,Elementary flows/Emission to air/low population density,kg,elementary,,,
186,false,2460f868-54a9-404c-bec8-c809a44ae72c,Manganese II,Elementary flows/Emission to air/low population density,kg,elementary,,,
187,false,dab33577-e9d4-4f6d-b141-a456521d4c1b,"Heat, waste",Elementary flows/Emission to soil/industrial,MJ,elementary,,,
188,false,9f69cb8e-51fe-447b-a1ac-4da74de8ebe4,Nickel II,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
189,false,70ef743b-3ed5-4a6d-b192-fb6d62378555,"Methane, fossil",Elementary flows/Emission to air/low population density,kg,elementary,,,
190,false,ea70cc93-c68c-4228-8b8e-1b189b4c705c,Chloride,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
191,false,7ae3e6e8-75e6-4566-b18f-6d848086c4e5,Fluoride,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
192,false,85bec19f-c785-4364-8ef6-472b8e9dd90e,Chloride,Elementary flows/Emission to water/ground water,kg,elementary,,,
193,false,1d0f4392-8c91-4d01-8a5d-f8fe1f5b05c9,Calcium II,Elementary flows/Emission to water/ground water,kg,elementary,,,
194,false,57bdb443-d4a6-423d-8024-959b8261d02e,"Methane, non-fossil",Elementary flows/Emission to air/low population density,kg,elementary,,,
195,false,40229ebf-9346-4f20-910a-f8ea3bd88d44,Copper ion,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
196,false,e6551223-73b6-4289-b841-c5cdeb25abd9,Selenium IV,Elementary flows/Emission to air/low population density,kg,elementary,,,
197,false,b311427f-0de3-4190-84a5-05c8460c62d1,Bromine,Elementary flows/Emission to water/ground water,kg,elementary,,,
198,false,4d54a415-82d7-49ac-88e1-712bd0009363,Selenium IV,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
199,false,bdce3a7c-e008-4391-be26-285f71a02453,Zinc II,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
200,false,31eacbfc-683a-4d36-afc1-80dee42a3b94,Sulfate,Elementary flows/Emission to water/ground water,kg,elementary,,,
201,false,60a6702f-20ad-444f-a6df-f6374f1e3183,Tin ion,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
202,false,24acc516-974c-4ff3-b7e1-5950b8d37206,Magnesium,Elementary flows/Emission to water/ground water,kg,elementary,,,
